Number,Band,Album,RDate,FDate,Own,	
1,Say Hi,Impeccable Blahs,2006-07-25,2018-12-22,,		
2,College,Teenage Color,2008-03-03,2018-12-22,,		
3,Carolina Durante,Necromantico,2017-12-21,2018-12-22,,		
4,Carolina Durante,Examiga,2018-05-28,2018-12-22,Yes,		
5,Fugu,Fugu,2018-11-16,2018-12-22,,		
6,The Last Detail,The Last Detail,2018-11-02,2018-12-22,,		
7,Cariño,Movidas,2018-11-09,2018-12-22,Yes,		
8,Espanto,Fruta y Verdura,2016,2018-12-22,,		
9,Soft Regime,Michelangelo,2017-01-27,2018-12-22,Yes,		
10,Soft Regime,Hard feelings,2018-03-02,2018-12-22,,		
11,Confeti de Odio,Llorar de Fiesta EP,0,2018-12-22,Yes,		
12,Melenas,Melenas LP Second edition (Limited Edition),2017-11-24,2018-12-22,YEs,		
13,Putochinomaricón,Corazón de Cerdo con Ginseng al Vapor,2018-04-20,2018-12-22,,		
14,Nos Miran,Humo,2018-03-16,2018-12-22,,		
15,Isasa,Las Cosas,2015-12-30,2015-04-07,,		
16,Autoescuela,quattro,2018-11-12,2018-11-12,Yes,		
17,Axolotes Mexicanos,Infectados,0,0,,		
18,Axolotes Mexicanos,Holi<3,0,0,,		
19,Ataque de Caspa,Sol,0,0,,		
20,Ataque de Caspa,Frecuencias,0,0,,		
21,Grosgoroth,Me Siento Mejor,0,0,,		
22,Grosgoroth,Trollocausto,0,0,,		
23,Varios Artistas,BSO El Futuro,0,0,,		
